Restaurant,mail,welcome_indoor,welcome_outdoor,register,leash,muzzle,water,quite_place
Zum Ziegenhainer,gaststaette@zum-ziegenhainer.de,yes,yes,yes,yes,no,yes,yes
Beef 52,info@beef-52.de,yes,yes,better for big dogs,yes,no,yes,yes
Milchmix,info@milchmix-eiscafe.de,yes,yes,no,yes,no,yes,-
Hotel Schwarzer Bär,hotel@schwarzer-baer.de,yes,yes,yes,yes,no,yes,yes
Braugasthof Papiermühle,papiermuehle@jenaer-bier.de,yes,yes,no,yes,yes,yes,yes
Taparazzi,office@soulfood-holding.de,yes,yes,no,no,no,yes,yes
Bauersfeld,info@bauersfeld-jena.de,yes,yes,no,yes,no,yes,yes
Fuchsturm,info@fuchsturmgaststaette.de,yes,yes,yes,yes,no,yes,yes
Lobdeburgklause,info@lobdeburgklause.de,yes,yes,yes,yes,no,yes,no
Landgraf,info@landgrafen.com,yes,yes,no,yes,no,yes,-
McDonalds,service@mcdonalds.de,maybe,maybe,no,yes,no,no,no
Cafe Immergrün,cafe-immergruen@web.de,yes,yes,no,no,no,yes,yes
Pici Cafe Vinothek,pici-cafe-vinothek@email.de,yes,yes,no,no,no,yes,yes
Nordsee,nordsee@nordsee.com,no,yes,-,no,no,no,no
Stilbruch,post@stilbruch-jena.de,yes,yes,no,yes,no,no,yes
